[1;34m[src/device/io/mmio.c,18,add_mmio_map] Add mmio map 'flash' at [0x0000000010000000, 0x00000000100000ff][0m
Store addr:8000fff8, mask:11111111, data:0000000080000010, at PC: 800048b4
Load  addr:800074d0, mask:11111111, data:0000000080010000, at PC: 80004dcc
Load  addr:800074d8, mask:11111111, data:0000000088000000, at PC: 80004dd0
Store addr:8000ffe8, mask:11111111, data:00000000800048bc, at PC: 80004de4
Store addr:8000ffd0, mask:11111111, data:0000000000000000, at PC: 80004de4
Store addr:8000ffc8, mask:11111111, data:2e8849bf7670b304, at PC: 80006018
Store addr:8000ffd8, mask:11111111, data:0000000080004dec, at PC: 80006020
Store addr:8000ffc0, mask:11111111, data:4c45eb2a22912c02, at PC: 80006024
Store addr:8000ffb8, mask:11111111, data:a53a7a601dd434f1, at PC: 80006028
Store addr:8000ffb0, mask:11111111, data:2e326c1a507c465d, at PC: 8000602c
Store addr:80010200, mask:11111111, data:0000000000000000, at PC: 80006068
Store addr:80010208, mask:11111111, data:0000000000000000, at PC: 8000606c
Store addr:80010210, mask:11111111, data:0000000000000000, at PC: 80006070
Store addr:80010000, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010008, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010010, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010018, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010020, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010028, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010030, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010038, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010040, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010048, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010050, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010058, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010060, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010068, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010070, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010078, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010080, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010088, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010090, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010098, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800100a0, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800100a8, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800100b0, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800100b8, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800100c0, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800100c8, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800100d0, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800100d8, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800100e0, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800100e8, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800100f0, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800100f8, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010100, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010108, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010110, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010118, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010120, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010128, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010130, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010138, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010140, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010148, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010150, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010158, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010160, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010168, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010170, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010178, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010180, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010188, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010190, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010198, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800101a0, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800101a8, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800101b0, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800101b8, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800101c0, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800101c8, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800101d0, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800101d8, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800101e0, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800101e8, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800101f0, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:800101f8, mask:11111111, data:0000000000000000, at PC: 80006074
Store addr:80010240, mask:11111111, data:0000000000000000, at PC: 800060c0
Store addr:80010248, mask:11111111, data:0000000000000000, at PC: 800060c4
Store addr:80010250, mask:11111111, data:0000000007fefdc0, at PC: 800060c8
Store addr:80010258, mask:00000001, data:0000000000000000, at PC: 800060cc
Store addr:80010260, mask:11111111, data:0000000000000000, at PC: 800060d0
Store addr:80010268, mask:11111111, data:0000000000000000, at PC: 800060d4
Load  addr:80010250, mask:11111111, data:0000000007fefdc0, at PC: 800060fc
Load  addr:80010250, mask:11111111, data:0000000007fefdc0, at PC: 8000610c
Load  addr:800100a0, mask:11111111, data:0000000000000000, at PC: 8000614c
Store addr:80010268, mask:11111111, data:0000000000000000, at PC: 80006150
Store addr:80010260, mask:11111111, data:0000000000000000, at PC: 80006154
Store addr:800100a0, mask:11111111, data:0000000080010240, at PC: 80006160
Load  addr:80010200, mask:11111111, data:0000000000000000, at PC: 80006164
Store addr:80010200, mask:11111111, data:0000000000100000, at PC: 8000616c
Store addr:80010218, mask:11111111, data:0000000007fefdc0, at PC: 8000617c
Store addr:80010220, mask:11111111, data:0000000000000000, at PC: 8000617c
Store addr:80010228, mask:11111111, data:0000000000000000, at PC: 8000617c
Store addr:80010230, mask:11111111, data:0000000000000000, at PC: 8000617c
Store addr:80010238, mask:11111111, data:0000000000000000, at PC: 8000617c
Load  addr:8000ffd0, mask:11111111, data:0000000000000000, at PC: 8000617c
Load  addr:8000ffc8, mask:11111111, data:2e8849bf7670b304, at PC: 8000617c
Load  addr:8000ffc0, mask:11111111, data:4c45eb2a22912c02, at PC: 8000617c
Load  addr:8000ffb8, mask:11111111, data:a53a7a601dd434f1, at PC: 8000617c
Load  addr:8000ffb0, mask:11111111, data:2e326c1a507c465d, at PC: 800061a4
Load  addr:8000ffe8, mask:11111111, data:00000000800048bc, at PC: 80004dec
Store addr:80007a08, mask:11111111, data:0000000080010000, at PC: 80004df4
Store addr:8000ffe8, mask:11111111, data:00000000800048c8, at PC: 80000100
Store addr:8000ffe0, mask:11111111, data:0000000000000000, at PC: 80000104
Store addr:8000ffd8, mask:11111111, data:2e8849bf7670b304, at PC: 80000108
Store addr:8000ffd0, mask:11111111, data:4c45eb2a22912c02, at PC: 8000010c
Store addr:8000ffc8, mask:11111111, data:a53a7a601dd434f1, at PC: 80000110
Store addr:8000ffc0, mask:11111111, data:2e326c1a507c465d, at PC: 80000114
Store addr:8000ffb8, mask:11111111, data:5bde80d5a6dcac39, at PC: 80000118
Store addr:8000ffb0, mask:11111111, data:79801cc72da341c2, at PC: 8000011c
Store addr:8000ffa8, mask:11111111, data:a1374a1a134e5535, at PC: 80000120
Store addr:8000ffa0, mask:11111111, data:5ae0bfeacbd7b98a, at PC: 80000124
Store addr:8000ff98, mask:11111111, data:9cd45f61d67268b5, at PC: 80000128
Store addr:8000ff90, mask:11111111, data:e424d71d650a0418, at PC: 8000012c
Store addr:8000ff88, mask:11111111, data:214314ba28fe4234, at PC: 80000130
Load  addr:80006d28, mask:00000001, data:0000000000000068, at PC: 80004d9c
Load  addr:80006310, mask:00000001, data:0000000000000000, at PC: 80004da8
Load  addr:80006d28, mask:00000001, data:0000000000000068, at PC: 80004d9c
Load  addr:80006288, mask:00000001, data:0000000000000074, at PC: 80004da8
Store addr:8000ff48, mask:11111111, data:fffffffffffffff4, at PC: 8000015c
Load  addr:80006d28, mask:00000001, data:0000000000000068, at PC: 80004d9c
Load  addr:80006290, mask:00000001, data:0000000000000074, at PC: 80004da8
Store addr:8000ff48, mask:11111111, data:0000000000000001, at PC: 80000178
Load  addr:80006d28, mask:00000001, data:0000000000000068, at PC: 80004d9c
Load  addr:80006248, mask:00000001, data:0000000000000072, at PC: 80004da8
Store addr:8000ff48, mask:11111111, data:0000000000000002, at PC: 800004dc
Load  addr:80006d28, mask:00000001, data:0000000000000068, at PC: 80004d9c
Load  addr:80006298, mask:00000001, data:0000000000000068, at PC: 80004da8
Load  addr:80006d29, mask:00000010, data:0000000000000075, at PC: 80004d9c
Load  addr:80006299, mask:00000010, data:0000000000000075, at PC: 80004da8
Load  addr:80006d2a, mask:00000100, data:0000000000000067, at PC: 80004d9c
Load  addr:8000629a, mask:00000100, data:0000000000000067, at PC: 80004da8
Load  addr:80006d2b, mask:00001000, data:0000000000000065, at PC: 80004d9c
